Word,Frequency
地中,625
もっぱら,605
地中海,582
鯉,578
継承,557
直立,541
目下,502
現世,455
女官,450
議長,442
垢,442
航行,439
推定,419
儀礼,413
思案,408
経文,399
発育,397
清算,395
頼朝,389
ぼろ,388
名残,387
農村,381
教養,378
催し,378
音階,377
まばら,370
馬車,363
矛,359
解体,350
じみ,342
摂取,340
叙事詩,330
ツツジ,321
あらわ,319
長寿,319
袂,317
免除,317
欠乏,312
臭気,311
精霊,311
独裁,310
つまみ,303
出場,301
構築,301
平常,298
縮小,290
しなやか,285
筏,284
寝床,281
侵略,269
良心,269
先行,265
密着,264
台詞,262
法典,262
小川,261
侵害,258
成り行き,257
浸透,255
埋葬,254
奥義,249
採集,249
麻布,248
部位,247
優美,246
鋲,245
請う,245
安らか,243
光明,243
徐々に,243
道筋,240
店頭,240
目盛り,238
陣営,237
探査,236
部族,234
手入れ,233
昨夜,233
正方形,232
皮革,232
指摘,231
主導,230
寒冷,225
不在,225
外郭,224
華族,221
布教,219
寄進,217
鏃,216
白紙,215
木戸,213
自覚,212
欲求,212
面影,209
土蔵,209
正午,209
炭鉱,208
気風,207
五行,207
精通,207
論議,206
渓谷,204
綿布,202
たすき,201
浮い,200
講師,200
助力,200
仕打ち,199
均一,199
文壇,198
酒屋,198
花形,197
輪廻,197
こらす,196
村落,196
交尾,196
親密,195
伝道,194
紀元前,194
国旗,193
流布,193
碇,193
残存,193
長老,192
度胸,192
首尾,191
朽ち,191
総体,189
ゆすり,188
ぶつかる,188
出費,188
結節,188
愚痴,187
幾重にも,187
異端,187
風潮,187
漁師,185
子守,185
患部,185
動向,184
納付,184
見地,184
遺物,184
練る,183
威光,183
急行,182
急所,182
早朝,182
淡い,182
中東,182
もどき,181
音程,180
参拝,178
無地,177
玄米,177
選抜,177
城壁,177
一行,175
習性,175
被る,175
めかし,175
明け方,174
情愛,174
ショウガ,174
放浪,173
とりわけ,172
司祭,172
一括,172
青磁,171
嗅覚,170
骨盤,170
付随,170
養生,169
代償,169
賃貸,169
帆船,169
参画,169
樫,169
乱雑,168
改訂,168
そびえる,167
放火,167
源泉,167
性交,167
痛める,166
昇降,166
小言,166
こなす,166
寛大,165
丸め,165
じかに,165
野心,164
共存,164
当面,164
縁談,163
本堂,163
困窮,163
籤,162
習字,162
精巧,162
蝙蝠,161
立案,161
弊害,161
列挙,161
出荷,161
わだかまり,161
代価,160
伏す,160
草地,160
大幅,159
夢想,159
近郊,159
部署,159
材質,158
処する,158
盛大,158
上空,158
風采,158
装身具,158
生後,158
行儀,157
発散,157
いっそ,157
遷移,157
繁華,157
屈曲,157
とりこ,157
投与,156
身上,156
一角,156
山羊,156
墳墓,155
実情,154
行き来,154
提携,153
色気,153
裁量,153
馳せ,153
給仕,153
暴行,153
赤子,153
自治体,153
危害,152
近隣,152
式典,152
中絶,152
弁解,151
局部,151
絶え間,151
戸外,150
肋,150
転倒,150
上場,150
受難,150
不和,150
穂先,150
荒廃,149
嵩,149
砦,149
ダニ,149
質素,148
護身,148
膣,148
成員,148
金平,148
若手,147
支障,147
島々,146
弱る,145
二股,145
発症,144
目当て,144
かしげ,144
優遇,143
大目,143
定時,143
震度,142
海原,142
呪術,142
安価,142
会得,142
研ぎ,141
法事,141
乗用車,140
見舞,140
祖国,140
根底,140
軽減,139
羽目,139
冷淡,139
俸給,139
合致,139
新芽,139
機雷,138
照合,137
饗宴,137
利い,136
富裕,136
宿命,136
現役,135
答案,135
付与,135
戸棚,135
復元,134
振幅,134
葛藤,133
寝台,133
湖面,133
慣例,133
起因,133
密閉,131
出立,131
常軌,131
大麻,130
液晶,130
暴露,130
四角い,130
横目,130
空虚,130
教材,129
運勢,129
際限,129
床板,129
士気,129
寓話,129
繁茂,129
内情,128
家主,128
啓示,128
忍耐,128
翡翠,128
及第,128
埋もれ,128
担任,128
図柄,128
峡谷,128
探究,128
鎮める,127
聴取,127
あくる,127
虚空,127
一節,127
雷鳴,127
木陰,127
同居,126
脱する,126
寄託,126
雄弁,126
漁網,126
対岸,126
冠する,125
立ち寄る,125
横領,125
装着,125
うっとり,125
景品,125
簡素,125
過激,124
上段,124
横柄,124
慣行,124
祝宴,124
不詳,124
類する,124
白身,124
順応,124
応急,123
未練,123
糧,123
不覚,123
屈服,123
懐疑,123
対価,123
沸かす,123
探求,123
敏感,122
体調,122
盲目,122
堪能,122
成否,122
配線,122
転覆,122
減退,121
機動,121
信奉,121
硬貨,121
召す,121
懸念,121
配布,121
疎遠,121
後見人,121
渚,121
台頭,121
始動,120
経理,120
ひときわ,120
資質,120
色情,120
受胎,120
鱒,119
段落,119
ねた,118
下旬,118
律儀,118
郵政,118
荒野,117
携行,117
重心,116
なだらか,116
風呂敷,116
抜粋,116
余興,116
類推,115
嗜好,115
愛嬌,115
観衆,115
落胆,114
侵攻,114
理髪,114
滋養,114
準拠,114
四方八方,114
留保,114
流刑,114
核心,113
定価,113
重荷,113
ヒョウ,113
日照り,113
流浪,113
修復,112
上回る,112
災厄,112
旧友,112
破綻,112
まなざし,112
なじる,112
偶数,112
栗色,112
塗装,112
一風,112
的確,112
広報,112
水槽,112
耳目,112
生来,112
与党,111
下段,111
罰金,111
欠如,111
旧来,111
人倫,111
素性,111
一環,111
終点,110
建材,110
善良,110
傀儡,110
国歌,110
家長,110
クラゲ,110
漁村,110
欠員,109
ひとすじ,109
荒らす,109
引き換え,109
当該,109
農夫,109
市販,109
対決,108
答弁,108
転じる,108
相殺,108
秘め,108
重油,108
模擬,108
講堂,108
年次,108
開封,107
晩餐,107
安値,107
手引き,107
勃発,107
大綱,107
背丈,107
温和,107
水利,107
隠棲,107
入れ墨,106
充足,106
眉間,106
家中,106
様態,106
退去,106
鋭敏,106
破棄,106
関門,106
三日月,106
編曲,106
入水,106
キツツキ,106
究明,105
浴びせる,105
迷路,105
嫌悪,105
染みる,105
がらみ,105
鋭利,105
踏切,105
範疇,105
内緒,104
迂回,104
離散,104
乾かす,104
肥沃,104
一新,104
クルミ,104
砂浜,104
改定,103
秀才,103
擬音,103
飛翔,103
清盛,103
怠慢,102
恨む,102
偶像,102
真夏,102
肉親,102
淡泊,102
付け加え,102
飽く,102
簡便,102
交雑,102
敏捷,102
ふらふら,101
凶悪,101
手相,101
そそる,101
不履行,101
膨れ,101
切迫,101
探索,101
虚構,101
幽閉,101
ぐっと,100
身内,100
硬直,100
制止,100
おむつ,100
彫像,100
徘徊,100
扇子,99
案外,99
延滞,99
つま先,99
装填,99
ごっこ,99
頭蓋骨,99
歪み,98
学区,98
常備,98
悪霊,98
平素,98
飛躍,97
そっけ,97
種族,97
崩御,97
係留,97
干物,97
多忙,97
奈落,97
快く,96
数式,96
叔母,96
炭水化物,96
残忍,96
従え,96
ぬかるみ,96
構図,95
存分,95
暫し,95
まばたき,95
謁見,95
外周,95
ほぐす,95
情欲,95
粗雑,95
冷酷,94
化す,94
奇怪,94
告訴,94
手当て,94
鎮め,94
精度,94
抑揚,94
狩人,94
表彰,94
へりくだる,93
徹する,93
予選,93
照準,93
登校,93
宿舎,93
猟犬,92
不調,92
檻,92
そそのかす,92
上納,92
安堵,92
凪,92
地誌,92
主眼,91
憎しみ,91
摩耗,91
抜群,91
凝縮,91
露見,91
当分,91
講じる,91
小銭,91
またぐ,91
母胎,91
機敏,90
感激,90
造成,90
板張り,90
きたす,90
領収,90
元手,90
王妃,89
縮図,89
印鑑,89
選考,89
綿密,89
前置き,89
片端,89
希薄,89
誇示,89
威嚇,88
連日,88
鍛錬,88
捺印,88
不祥事,88
特典,88
逆行,88
押し出し,88
瞬時,88
傲慢,88
一掃,88
火傷,87
帰還,87
告発,87
尊厳,87
兆候,87
思索,87
傑出,87
かれこれ,86
帳場,86
閉ざさ,86
手近,86
着衣,86
強要,86
字義,86
褒美,85
食中毒,85
偶発,85
勤続,85
累積,85
提げ,85
吹奏楽,85
かがめる,85
才覚,85
あからさま,85
鼻孔,85
みっともない,84
眠気,84
礎,84
魔物,84
ねだる,84
おっくう,84
冬眠,84
枷,84
草むら,84
濫用,84
密通,84
研ぐ,83
昇格,83
断食,83
牽制,83
布袋,83
いっとき,83
快感,83
禁欲,83
透け,83
雲間,83
太古,83
夜空,82
在学,82
余人,82
どもり,82
気前,82
木偶,82
荷造り,82
むごたらしい,82
緊密,82
南半球,82
出方,82
分際,81
咀嚼,81
徴候,81
殺到,81
手口,81
実り,81
援護,80
寛容,80
客間,80
起立,80
悪寒,80
改修,80
補修,80
家電,80
意表,80
給食,80
もやし,80
兆し,80
ともあれ,79
申し分,79
断念,79
互角,79
原色,79
したたる,79
保留,78
熱烈,78
病没,78
商事,78
執事,78
賃貸借,78
御名,78
乗降,77
乗り出す,77
ちらちら,77
興亡,77
切に,77
老朽,77
帰結,77
駆ら,77
際立っ,77
不器用,76
恋しい,76
回廊,76
爽快,76
案ずる,76
所用,76
脳裏,76
持病,76
再発,76
挫折,76
宿所,76
幻影,76
波紋,76
元祖,76
加味,76
くよくよ,75
閉ざす,75
自重,75
整然,75
あわただしく,75
権益,75
膠着,75
雷雨,75
新米,74
無邪気,74
料亭,74
ぎっしり,74
引き分け,74
当てはまる,74
隣人,74
かがむ,74
稼働,74
物腰,74
重し,74
照会,74
先立つ,74
恩師,74
撤去,74
掌中,74
ないがしろ,74
感慨,74
序曲,74
補欠,74
老練,74
降雪,73
形跡,73
嘆息,73
没頭,73
念頭,73
いきさつ,73
麻疹,73
着実,73
釉薬,73
享受,73
交合,73
厳粛,73
試練,72
焼却,72
家出,72
別離,72
すぐさま,72
ずたずた,72
市政,72
秘訣,72
双曲線,72
共謀,72
卵子,72
オウム,72
幾多,72
駱駝,71
詭弁,71
縄張り,71
定款,71
重圧,71
鑢,71
隠匿,71
間近,71
きらめく,71
通帳,71
山の手,71
屈辱,70
神妙,70
波風,70
目頭,70
険悪,70
うつむく,70
娼婦,70
閉ざし,70
格段,70
裏打ち,70
まんまと,69
給う,69
上限,69
挑発,69
参列,69
えぐる,69
拝謁,69
給油,69
宦官,69
介在,68
還付,68
利権,68
しかめ,68
画期的,68
実感,68
面持ち,68
好か,68
ずんぐり,68
喚起,68
見晴らし,68
つややか,67
栄光,67
へま,67
ふりかけ,67
ひとしきり,67
塹壕,67
風変わり,67
鼻息,67
周遊,67
算段,67
性急,67
枠組み,67
被せ,67
棍棒,67
苦行,66
不穏,66
落札,66
不揃い,66
偉人,66
宣誓,66
遵守,66
太極,66
冒す,65
流れ込む,64
専業,64
撃退,64
にこやか,64
入所,64
残暑,64
手下,64
悩まさ,64
句読点,64
希有,64
無頼,64
おしなべて,64
腰痛,64
追撃,63
住人,63
明るみ,63
当惑,63
苦楽,63
うわつい,63
償う,63
逆さま,63
房総,63
気運,63
部外,63
広間,63
可憐,63
すらり,63
痛烈,63
了承,62
失態,62
だらり,62
格言,62
陶酔,62
浅黄,62
祝祭,62
口承,62
奥行き,62
空き地,62
混沌,61
拘留,61
恒久,61
萌芽,61
鉢植え,61
如才,61
粗暴,61
落差,61
親権,61
重苦しい,61
失踪,61
全盛期,61
乗り越える,60
弱まる,60
辞表,60
危惧,60
格納,60
為政者,60
かっと,60
薄弱,60
すれすれ,60
恐喝,59
進呈,59
道程,59
どっしり,59
内職,59
脅威,59
毀損,59
反感,59
刻限,59
門扉,59
保育園,59
剥ぐ,59
淡く,59
揉む,58
閉会,58
搬送,58
就寝,58
暗黙,58
拓本,58
散らばる,58
長袖,58
周到,58
ロバ,58
疎通,58
互恵,58
苛酷,58
見過ごす,57
気取る,57
段取り,57
面識,57
再起,57
辛辣,57
会計士,57
節制,57
同好,57
眼下,57
新調,57
深まる,57
網羅,57
はしか,57
蔑視,57
自明,57
誇大,57
荒涼,57
創意,56
誹謗,56
直訳,56
恍惚,56
豪快,56
憂さ,56
栄達,56
うつぶせ,56
一任,56
凶暴,56
温厚,56
天寿,56
逓信,55
切実,55
執拗,55
服役,55
抜かす,55
知己,55
瞬く,55
形而上,55
むきだし,55
示唆,55
裏付け,55
引きずる,54
失敬,54
ぶらさがる,54
哀願,54
粗忽,54
開演,54
すぼめ,54
良識,54
忠誠,54
水泡,54
白昼,54
陳腐,53
日雇い,53
確固,53
ためらい,53
断然,53
留意,53
着古し,53
改行,53
有事,53
穏健,53
薄皮,53
壇上,53
広汎,53
惨事,53
驚嘆,53
疎外,53
切れ端,53
警視庁,52
あざける,52
満載,52
下心,52
所以,52
強いる,52
微動,52
騎手,52
通算,52
天然痘,52
痛切,52
燻製,52
漏洩,52
梱包,52
漠然,51
啓発,51
変貌,51
折半,51
せがむ,51
切り替える,51
ちらつく,51
温床,51
蒼白,51
とげとげしい,51
過疎,51
妻帯,51
懇意,51
教祖,51
精緻,51
老舗,51
入念,51
擬態,50
同郷,50
土壇場,50
半熟,50
火種,50
描画,50
直訴,50
抵触,50
疲弊,50
準決勝,50
ホタル,50
あやふや,49
憶測,49
代役,49
痛覚,49
看守,49
迷走,49
おだてる,49
道楽者,49
悠々,49
不憫,49
つぐむ,49
ごろつき,49
あえぐ,49
引ける,49
逗留,49
審美,49
哀悼,49
ふわふわ,48
顛末,48
かすめる,48
傍聴,48
解す,48
まっしぐら,48
却下,48
断固,48
厳守,48
むせる,48
イナゴ,48
一滴,48
類比,48
生い立ち,48
壮麗,48
原初,48
往年,47
重鎮,47
仕向ける,47
集る,47
たかる,47
風貌,47
青二才,47
教示,47
飛び交う,47
猛禽,47
三菱,47
刻印,47
腿,47
抱擁,47
息女,46
旅団,46
